,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd_pledged,name,duration,avg_pledge,deadline_year,launched_year,deadline_month,launched_month,pred_usd_pledged
1856,Food,USD,2013-02-24 01:10:31,20000.0,2013-02-09 01:10:31,275.0,failed,16,US,275.0,Flavors of India,15,17.1875,2013,2013,2,2,2105.904052734375
1960,Film & Video,USD,2013-10-03 08:59:00,4500.0,2013-09-20 07:38:17,4631.0,successful,98,US,4631.0,The Crush Series,13,47.255102040816325,2013,2013,10,9,2989.97119140625
1970,Food,CAD,2014-11-24 19:33:21,150.0,2014-11-03 19:33:21,0.0,failed,0,CA,0.0,iDrinks,21,,2014,2014,11,11,2592.0986328125
2068,Publishing,USD,2012-08-21 07:00:39,46000.0,2012-07-22 07:00:39,31920.0,failed,110,US,31920.0,Live Forever - The Mylon Le Fevre Story,30,290.1818181818182,2012,2012,8,7,878.12158203125
2199,Music,USD,2013-04-03 18:42:32,2500.0,2013-03-04 18:42:32,525.0,failed,7,US,525.0,Missing Sibling 2013 Western US Tour,30,75.0,2013,2013,4,3,2467.908203125
2216,Music,USD,2011-12-17 17:51:18,2000.0,2011-11-17 17:51:18,2175.0,successful,41,US,2175.0,Telemetry Goes On Tour,30,53.048780487804876,2011,2011,12,11,6872.50341796875
2358,Art,USD,2014-03-17 19:16:45,3500.0,2014-02-24 20:16:45,3592.0,successful,115,US,3592.0,BHB PROJECT: Build Handmade Buffalo,20,31.234782608695653,2014,2014,3,2,3665.409912109375
2480,Film & Video,USD,2015-02-23 21:16:06,100000.0,2015-01-24 21:16:06,64.0,failed,5,US,64.0,"""""""Balloon Man"""" Film""",30,12.8,2015,2015,2,1,766.984619140625
2508,Art,USD,2014-09-01 08:59:00,10362.0,2014-08-01 22:10:44,10848.66,successful,85,US,10848.66,Launch the Gudger Hot Shop: Bring Hot Glass back to the Whit,30,127.63129411764706,2014,2014,9,8,1610.542236328125
2543,Fashion,USD,2016-06-25 16:49:14,42600.0,2016-05-11 16:49:14,1370.0,failed,5,US,1370.0,Plus1 Sportswear,45,274.0,2016,2016,6,5,4608.978515625
2629,Technology,USD,2014-05-04 23:00:00,2000.0,2014-04-07 18:56:05,3414.0,successful,63,US,3414.0,Help fund the Vintage Computer Festival Southeast 2.0!,27,54.19047619047619,2014,2014,5,4,1313.187744140625
2668,Fashion,USD,2014-10-19 19:39:40,5000.0,2014-09-19 19:39:40,10.0,failed,1,US,10.0,Dirt Cheap Christianwear,30,10.0,2014,2014,10,9,4170.7900390625
2707,Film & Video,USD,2016-06-29 05:29:45,3000.0,2016-05-30 05:29:45,3010.0,successful,31,US,3010.0,I See Jesus (the film),30,97.09677419354838,2016,2016,6,5,15181.4658203125
2726,Music,USD,2011-12-22 04:00:00,2000.0,2011-11-30 13:38:23,2157.0,successful,59,US,2157.0,Experiments in Opera Festival on 1/16/12,21,36.559322033898304,2011,2011,12,11,2425.689453125
2780,Art,USD,2011-03-10 19:05:24,850.0,2011-02-08 19:05:24,875.0,successful,24,US,875.0,The Colorboration Project Chicago,30,36.458333333333336,2011,2011,3,2,2761.82421875
2792,Games,USD,2014-08-02 05:59:00,2500.0,2014-07-04 00:19:04,2585.0,successful,117,US,2585.0,The Algernon Files 3.0,29,22.094017094017094,2014,2014,8,7,28405.609375
2854,Film & Video,USD,2011-05-24 05:59:00,15000.0,2011-04-23 22:48:20,16346.0,successful,152,US,16346.0,DUCK BEACH,30,107.53947368421052,2011,2011,5,4,3112.161865234375
2949,Other,CAD,2015-05-13 19:38:55,5000.0,2015-03-14 18:38:55,34.0,failed,3,CA,26.7579796,Natural Makes Scents,60,8.919326533333333,2015,2015,5,3,-736.8175659179688
2966,Photography,USD,2016-10-18 06:00:00,3000.0,2016-10-02 18:03:54,6095.0,successful,244,US,2930.0,That Golden Pup: 2017 Calendar,15,12.008196721311476,2016,2016,10,10,2749.259765625
3033,Games,USD,2012-10-29 17:00:00,10000.0,2012-09-28 20:38:13,100.0,failed,4,US,100.0,"""""""25 years of the Mafia Game"""" Workshop""",30,25.0,2012,2012,10,9,4251.68896484375
3087,Other,CAD,2015-12-06 18:00:38,5000.0,2015-11-16 18:00:38,18846.5,successful,143,CA,14145.59375841,Viola meets Mooresburg,20,98.9202360727972,2015,2015,12,11,8528.6669921875
3158,Film & Video,USD,2014-04-03 00:12:17,8000.0,2014-03-04 00:12:17,215.0,failed,7,US,215.0,A Classical Mistake - Short Film,30,30.714285714285715,2014,2014,4,3,3053.418701171875
3192,Publishing,USD,2014-02-15 23:57:19,6000.0,2014-01-16 23:57:19,211.0,failed,5,US,211.0,IntimateINK - Tattooed Colorado Women,30,42.2,2014,2014,2,1,2659.584228515625
3362,Publishing,USD,2014-11-29 00:24:57,3500.0,2014-10-29 23:24:57,318.0,failed,15,US,318.0,The Junior Journal - Newspaper for Kids Written by Kids,30,21.2,2014,2014,11,10,3738.68310546875
3532,Theater,GBP,2014-07-19 15:53:41,1000.0,2014-06-19 15:53:41,85.0,failed,4,GB,144.2034452,The Boxford Masques 'Joe Soap's Masquerade',30,36.0508613,2014,2014,7,6,1718.882568359375
3634,Food,USD,2012-12-08 02:59:00,35000.0,2012-11-02 17:33:03,35465.41,successful,303,US,35465.41,The JAVA TEA Project,35,117.04755775577559,2012,2012,12,11,9260.380859375
3710,Film & Video,USD,2015-03-13 05:10:00,10000.0,2015-02-11 06:19:06,1.0,failed,1,US,1.0,CarJokester,29,1.0,2015,2015,3,2,4886.1142578125
3719,Design,EUR,2015-03-14 06:32:14,10500.0,2015-02-18 07:32:14,4279.0,failed,32,Other,4859.37454838,StreetWood-One,23,151.855454636875,2015,2015,3,2,9225.7958984375
3839,Music,USD,2012-11-22 04:52:14,3000.0,2012-10-13 04:52:14,0.0,failed,0,US,0.0,GRETHOR ALBUM !!!!!!!!!!!!!!!!!!!!!!,40,,2012,2012,11,10,12050.4814453125
4060,Film & Video,USD,2012-08-21 00:00:00,25000.0,2012-06-22 02:44:55,465.0,failed,13,US,465.0,"""""""YESTERDAY'S TICKET"""" - a love story between a father and son""",59,35.76923076923077,2012,2012,8,6,10401.6083984375
4134,Publishing,GBP,2013-11-14 18:36:02,1000.0,2013-10-15 18:36:02,70.0,failed,2,GB,111.8350212,Artificial Intelligence Architecture,30,55.9175106,2013,2013,11,10,2007.156494140625
4142,Publishing,USD,2015-10-28 23:36:14,500.0,2015-08-30 00:36:14,1917.0,successful,42,US,1917.0,My Day... A Long Distance Lullaby,59,45.642857142857146,2015,2015,10,8,1447.182373046875
4148,Music,USD,2012-04-11 06:59:00,3000.0,2012-02-20 20:26:59,175.0,failed,5,US,175.0,RHYTHMAGIC,50,35.0,2012,2012,4,2,3848.68017578125
4223,Film & Video,USD,2012-01-21 18:01:27,9500.0,2011-11-27 18:01:27,10600.0,successful,128,US,10600.0,Gray Matter,55,82.8125,2012,2011,1,11,1847.4678955078125
4240,Music,Other,2014-09-11 23:53:01,7500.0,2014-08-04 23:53:01,0.0,failed,0,Other,0.0,The journey,38,,2014,2014,9,8,55576.4453125
4241,Music,USD,2012-01-13 01:03:20,600.0,2011-12-14 01:03:20,649.0,successful,12,US,649.0,SLAVES TO THE PAVEMENT IS GONNA HAVE AN ALBUM FINALLY?! RLY?,30,54.083333333333336,2012,2011,1,12,12617.640625
4282,Food,USD,2014-08-27 21:24:18,25000.0,2014-07-28 21:24:18,0.0,failed,0,US,0.0,Perro Gringo - Gringo Dog Hotdog & Sandwich Shop,30,,2014,2014,8,7,85.57553100585938
4311,Design,USD,2011-10-10 01:05:47,75000.0,2011-08-31 01:05:47,1.0,failed,1,US,1.0,Rock'n Green Human Powered Electric Guitar,40,1.0,2011,2011,10,8,36230.03515625
4321,Games,Other,2015-09-05 00:06:12,500000.0,2015-08-06 00:06:12,450.0,failed,2,Other,52.0148115,Prophet - The Game,30,26.00740575,2015,2015,9,8,-4678.41064453125
4334,Games,USD,2014-11-17 21:00:00,5000.0,2014-10-13 23:53:15,1123.0,failed,76,US,1123.0,ZtoZ,34,14.776315789473685,2014,2014,11,10,6633.1279296875
4405,Music,USD,2010-08-16 00:40:00,2000.0,2010-06-17 03:55:19,2000.0,successful,18,US,2000.0,"""New C.D. """"Under the Radar"""" with music videos""",59,111.11111111111111,2010,2010,8,6,1131.4964599609375
4413,Art,USD,2015-08-27 07:08:34,1000.0,2015-07-08 07:08:34,4070.01,successful,94,US,4070.01,Conversations with North Korea: Own a rare piece of history!,50,43.297978723404256,2015,2015,8,7,1508.6240234375
4442,Music,EUR,2016-12-01 00:00:00,650.0,2016-10-20 13:38:30,650.0,successful,7,Other,0.0,The Ryda - Sin City Diaries: Chapter 2,41,0.0,2016,2016,12,10,4947.74462890625
4451,Music,USD,2016-11-30 19:00:00,500000.0,2016-10-29 21:13:07,975.0,failed,6,US,975.0,Brendan's Bar,31,162.5,2016,2016,11,10,6431.4091796875
4497,Film & Video,USD,2015-04-08 01:00:31,5000.0,2015-03-09 00:00:31,6100.0,successful,44,US,6100.0,Alone With Company,30,138.63636363636363,2015,2015,4,3,4398.64306640625
4503,Publishing,USD,2012-06-02 23:52:01,55000.0,2012-05-03 23:52:01,50.0,failed,1,US,50.0,"""Death of a Myth, Light in the Darkness""",30,50.0,2012,2012,6,5,618.586181640625
4675,Art,USD,2015-08-04 21:34:58,800.0,2015-07-05 21:34:58,61.0,failed,4,US,61.0,Original Art Cards & Paintings to brighten your day!,30,15.25,2015,2015,8,7,1266.287353515625
4793,Film & Video,USD,2014-04-10 03:29:00,7500.0,2014-03-26 06:08:46,670.0,failed,18,US,670.0,Mother's Day Short,14,37.22222222222222,2014,2014,4,3,3642.798828125
4967,Film & Video,USD,2016-05-21 12:33:00,3000.0,2016-04-22 23:22:13,56.0,failed,2,US,56.0,Costumes of Identity,28,28.0,2016,2016,5,4,6107.59228515625
5026,Technology,USD,2013-07-14 23:30:31,75000.0,2013-06-14 23:30:31,98001.0,successful,2148,US,98001.0,POWERQUBE - The 21st Century solution to the power strip,30,45.624301675977655,2013,2013,7,6,13945.2060546875
5215,Film & Video,GBP,2016-05-01 09:50:48,2500.0,2016-04-21 09:50:48,120.0,failed,5,GB,172.5714876,The House of Minority,10,34.51429752,2016,2016,5,4,368.6824035644531
5303,Art,USD,2011-03-18 07:59:00,1800.0,2011-03-10 05:26:46,590.0,failed,16,US,590.0,Call and Response I: Leonard Nimoy,8,36.875,2011,2011,3,3,691.9369506835938
5334,Film & Video,USD,2014-03-05 17:04:56,10000.0,2014-02-03 17:04:56,0.0,failed,0,US,0.0,MEN=MONEY WOMEN=SEX,30,,2014,2014,3,2,4949.72509765625
5363,Music,USD,2012-10-24 23:22:56,2800.0,2012-09-24 23:22:56,562.0,failed,17,US,562.0,Prevention Intervention-Poorhouse Millionaires CD Release,30,33.05882352941177,2012,2012,10,9,2460.30029296875
5375,Theater,USD,2011-09-01 18:03:51,40000.0,2011-06-03 18:03:51,50.0,failed,1,US,50.0,God? The Musical - A multimedia dramatic comedic musical,90,50.0,2011,2011,9,6,3195.46875
5391,Music,USD,2010-10-02 05:59:00,1500.0,2010-07-07 01:31:08,0.0,failed,0,US,0.0,Project Rend: Professional mastering and duplication of Rend's music.,87,,2010,2010,10,7,4097.07421875
5409,Design,USD,2013-09-12 02:21:37,50000.0,2013-08-08 02:21:37,9756.0,failed,143,US,9756.0,The Sawmill Capo,35,68.22377622377623,2013,2013,9,8,25747.779296875
5460,Theater,USD,2012-06-16 23:41:01,1500.0,2012-05-27 23:41:01,1670.0,successful,35,US,1670.0,GUARDIN' ROOTS: More then just a play!,20,47.714285714285715,2012,2012,6,5,5839.80224609375
5579,Theater,USD,2013-07-13 18:19:56,5000.0,2013-06-03 18:19:56,5935.13,successful,106,US,5935.13,INFALLIBILITY at Fringe NYC,40,55.99179245283019,2013,2013,7,6,7879.26123046875
5580,Other,USD,2016-08-05 15:35:00,7500.0,2016-07-06 03:51:43,7581.0,successful,31,US,40.0,LAUNCH By Lisa Conlin & Raena Rasmussen,30,1.2903225806451613,2016,2016,8,7,1298.29345703125
5683,Technology,USD,2015-03-06 19:49:03,30000.0,2015-01-05 19:49:03,492.0,failed,11,US,492.0,Change the World One Mile at a Time with the Synergia App,60,44.72727272727273,2015,2015,3,1,-601.9530029296875
5735,Art,Other,2015-03-03 23:56:20,700.0,2015-02-17 23:56:20,80.0,failed,5,Other,62.2851648,Nasty Rhymes and Rope to début quality prints at Asylum,14,12.45703296,2015,2015,3,2,9950.9423828125
5920,Design,USD,2016-09-05 13:22:21,1100000.0,2016-08-04 13:22:21,1.0,failed,1,US,0.0,Enjoy The Old Children's Home: Historic Preservation,32,0.0,2016,2016,9,8,24331.287109375
5967,Design,USD,2012-01-08 05:59:00,10000.0,2011-11-19 02:13:57,29078.0,successful,298,US,29078.0,ONE | Laptop and Camera Bag System,50,97.57718120805369,2012,2011,1,11,18242.294921875
6036,Games,USD,2015-03-21 17:48:33,15000.0,2015-02-18 18:48:33,5671.0,failed,117,US,5671.0,Warlords & Sellswords- An Army Building Card Game,30,48.47008547008547,2015,2015,3,2,4930.93896484375
6148,Music,USD,2011-09-04 04:00:00,4800.0,2011-07-20 02:33:30,1182.0,failed,30,US,1182.0,"""Be part of Martín Loyato quartet new record """"The Itinerant""""""",46,39.4,2011,2011,9,7,5692.041015625
6222,Music,USD,2013-09-30 22:39:18,3827.0,2013-08-21 22:39:18,20.0,failed,1,US,20.0,BRILLIANCE IS RECORDING A 4TH ALBUM!!!,40,20.0,2013,2013,9,8,3552.670654296875
6225,Music,USD,2014-07-05 02:00:00,8000.0,2014-06-02 16:00:51,10525.0,successful,196,US,10525.0,"""Zahatar: Acoustic String Band's """"The Little Country"""" album""",32,53.69897959183673,2014,2014,7,6,8688.2724609375
6227,Publishing,GBP,2015-10-01 17:55:52,10000.0,2015-09-01 17:55:52,10031.0,successful,134,GB,15478.36173401,Coffee Shop: North,30,115.51016219410448,2015,2015,10,9,5079.5888671875
6359,Music,USD,2011-07-25 19:54:24,6000.0,2011-06-25 19:54:24,11804.0,successful,171,US,11804.0,Tom Brislin's First Solo Album,30,69.02923976608187,2011,2011,7,6,3483.05908203125
6426,Music,USD,2015-08-20 23:33:26,2000.0,2015-07-21 23:33:26,113.32,failed,7,US,113.32,Blackstone Heist Vinyl Release,30,16.18857142857143,2015,2015,8,7,3671.310302734375
6429,Film & Video,USD,2013-03-30 19:49:23,1500.0,2013-03-15 19:49:23,1560.0,successful,21,US,1560.0,YELLOW Post Production Fund,15,74.28571428571429,2013,2013,3,3,1210.4931640625
6506,Publishing,USD,2014-11-07 23:51:48,2500.0,2014-09-08 23:51:48,2650.0,successful,12,US,2650.0,The Rabbit Stu,60,220.83333333333334,2014,2014,11,9,878.5658569335938
6604,Design,USD,2014-10-08 16:00:09,30000.0,2014-09-08 16:00:09,22421.0,failed,316,US,22421.0,Lock-on Table Tray... Easier dining with children!,30,70.95253164556962,2014,2014,10,9,6861.82275390625
6615,Photography,USD,2011-03-24 19:04:50,250.0,2011-03-14 19:04:50,295.0,successful,6,US,295.0,Photo Exhibition - BOND BOUND(2),10,49.166666666666664,2011,2011,3,3,581.77392578125
6642,Art,USD,2015-09-07 08:00:00,2000.0,2015-08-13 03:47:10,815.0,failed,16,US,815.0,The Cartoon Cat Limited Edition Silk Screened Print,25,50.9375,2015,2015,9,8,4508.04736328125
6710,Film & Video,USD,2012-02-09 17:49:50,30000.0,2012-01-10 17:49:50,50.0,failed,2,US,50.0,Things & Stuff,30,25.0,2012,2012,2,1,3170.668212890625
6722,Publishing,USD,2014-08-07 20:58:00,800.0,2014-07-24 16:49:05,45.0,failed,2,US,45.0,Saplings: The Carolina Young Artists' Magazine Launch,14,22.5,2014,2014,8,7,2141.626953125
6801,Fashion,USD,2010-12-06 15:43:17,10000.0,2010-10-07 15:43:17,11002.25,successful,139,US,11002.25,Buzz & Growl - Cleveland's New Fashion Incubator,60,79.15287769784173,2010,2010,12,10,1664.0372314453125
6938,Food,CAD,2014-12-02 00:55:12,550000.0,2014-10-03 00:55:12,0.0,failed,0,CA,0.0,Shelby's Parfaits,60,,2014,2014,12,10,505.8074645996094
6974,Publishing,USD,2012-10-22 16:12:40,8500.0,2012-09-12 16:12:40,285.0,failed,6,US,285.0,"""Getting to Know God, An Artist's Journey""",40,47.5,2012,2012,10,9,7960.96728515625
7038,Publishing,USD,2010-12-08 00:19:57,5000.0,2010-11-08 00:19:57,5190.0,successful,40,US,5190.0,Spirit Of The Arctic - Adventures In The Last Frontier,30,129.75,2010,2010,12,11,94.122802734375
7044,Photography,USD,2012-03-11 06:55:10,20000.0,2012-02-10 06:55:10,201.0,failed,2,US,201.0,American Beauty,30,100.5,2012,2012,3,2,3942.31494140625
7084,Film & Video,USD,2012-01-29 23:08:25,15000.0,2011-12-30 23:08:25,280.0,failed,6,US,280.0,The Living Buddha,30,46.666666666666664,2012,2011,1,12,12469.525390625
7179,Games,USD,2012-10-08 19:32:36,10000.0,2012-08-09 19:32:36,2070.0,failed,37,US,2070.0,Tribal Hunger - Indie iOS for Casual & Hardcore Gamers,60,55.945945945945944,2012,2012,10,8,95.38446044921875
7256,Film & Video,USD,2016-11-17 18:00:40,24625.0,2016-10-18 18:00:40,15700.0,failed,47,US,2424.0,The Harrowing - A Supernatural Horror Short Film,30,51.57446808510638,2016,2016,11,10,4937.47314453125
7356,Music,USD,2013-03-14 01:03:09,8000.0,2013-02-12 02:03:09,3175.0,failed,32,US,3175.0,The Sheagles Coming To Your City,29,99.21875,2013,2013,3,2,1495.488037109375
7372,Music,USD,2015-03-09 19:00:00,2500.0,2015-02-09 21:41:30,50.0,failed,2,US,50.0,Help TCCO raise funds to record a CD to support our mission,27,25.0,2015,2015,3,2,3207.866943359375
7599,Food,USD,2015-09-15 19:00:00,10000.0,2015-09-05 00:39:28,0.0,failed,0,US,0.0,Katchup Dip Cups,10,,2015,2015,9,9,1785.22607421875
7635,Art,USD,2016-01-31 09:00:00,4000.0,2015-12-31 02:24:43,35.0,failed,3,US,35.0,Painted Yosemite: A Collective Journey,31,11.666666666666666,2016,2015,1,12,5807.06005859375
7702,Food,GBP,2014-10-31 01:00:00,25000.0,2014-10-02 17:16:21,1576.0,failed,31,GB,2551.31362032,Ella Riley's building a chocolate factory!,28,82.3004393651613,2014,2014,10,10,4782.173828125
7715,Film & Video,USD,2010-09-14 06:27:54,750.0,2010-08-27 06:27:54,1499.0,successful,19,US,1499.0,Making our short film 'REUNITED' Oscar Eligible,18,78.89473684210526,2010,2010,9,8,4461.07763671875
7747,Film & Video,USD,2015-11-29 08:59:00,35000.0,2015-10-21 10:59:22,6059.0,failed,70,US,6059.0,One Day in December,38,86.55714285714286,2015,2015,11,10,9359.279296875
7771,Food,USD,2012-03-08 21:28:40,3500000.0,2012-01-08 21:28:40,125.0,failed,2,US,125.0,Salvators' Winery & Restaurant,60,62.5,2012,2012,3,1,10342.16015625
7776,Technology,EUR,2016-03-05 20:19:53,1000.0,2016-02-04 20:19:53,1.0,failed,1,Other,1.09189497,New engine technology for airplanes: the HyRcraft,30,1.09189497,2016,2016,3,2,16008.4091796875
7790,Art,USD,2010-09-01 02:30:00,2000.0,2010-07-17 07:04:38,290.0,failed,3,US,290.0,Sackville Art Magazine,45,96.66666666666667,2010,2010,9,7,2672.51318359375
7832,Games,GBP,2012-12-20 10:52:58,325000.0,2012-11-20 10:52:58,2562.0,failed,43,GB,4164.9935691,Dominion - Episode 1,30,96.86031556046511,2012,2012,12,11,37023.6484375
7849,Art,GBP,2015-12-07 02:50:47,2500.0,2015-11-07 02:50:47,1690.01,failed,19,GB,2599.9793900024,The Best Way to Catch a Snake,30,136.84102052644212,2015,2015,12,11,2059.007080078125
7884,Film & Video,USD,2015-10-10 22:10:51,1200000.0,2015-08-11 22:10:51,55.0,failed,2,US,55.0,"""Renaissance, The Project -The Fair -The TV Series""",60,27.5,2015,2015,10,8,-228.42776489257812
7988,Publishing,USD,2016-05-02 06:59:00,300.0,2016-04-05 10:37:59,200.0,failed,1,US,200.0,Feminist Zine Collection at WKU,26,200.0,2016,2016,5,4,1512.732421875
7989,Food,USD,2011-04-03 07:04:00,10000.0,2011-02-15 22:23:09,10001.0,successful,49,US,10001.0,Marathon Farm - An Urban Agriculture Project,46,204.10204081632654,2011,2011,4,2,3802.127197265625
8007,Technology,Other,2014-12-12 19:59:29,4000000.0,2014-11-12 19:59:29,35.0,failed,2,Other,4.71775675,"""E.T Scooter , World's most innovative electric transporter.""",30,2.358878375,2014,2014,12,11,48748.7578125
8015,Technology,USD,2015-10-01 04:24:42,78000.0,2015-09-01 04:24:42,7163.0,failed,11,US,7163.0,EOS - The World's First All Terrain Hoverboard,30,651.1818181818181,2015,2015,10,9,118110.0078125
8082,Comics,USD,2014-11-16 17:24:29,250.0,2014-10-17 17:24:29,1354.0,successful,90,US,1354.0,Silber Mini-Comics Subscriptions,30,15.044444444444444,2014,2014,11,10,24720.630859375
8144,Theater,USD,2014-11-05 22:22:25,500.0,2014-10-15 22:22:25,530.11,successful,9,US,530.11,Adopt a School for Shared Shakes Artists in the Schools,21,58.90111111111111,2014,2014,11,10,3402.987548828125
8200,Film & Video,USD,2012-10-09 03:00:00,6000.0,2012-09-11 04:52:46,6550.0,successful,89,US,6550.0,80/20show,27,73.59550561797752,2012,2012,10,9,7334.677734375
8214,Music,GBP,2014-10-20 12:38:33,2500.0,2014-09-20 12:38:33,3524.0,successful,49,GB,5810.92400988,Barluath's Second Album,30,118.59028591591837,2014,2014,10,9,1858.8499755859375
8399,Publishing,GBP,2014-12-26 14:06:42,15000.0,2014-11-26 14:06:42,14.0,failed,2,GB,21.9486652,Akio & The Dream World,30,10.9743326,2014,2014,12,11,-3485.685546875
8519,Food,USD,2013-02-25 01:33:14,35000.0,2013-01-26 01:33:14,100.0,failed,5,US,100.0,The Atlanta Hydro Food Project,30,20.0,2013,2013,2,1,3736.875732421875
8545,Film & Video,GBP,2015-07-03 23:12:44,4000.0,2015-06-03 23:12:44,0.0,failed,0,GB,0.0,Extreme Cooking With..,30,,2015,2015,7,6,2012.155517578125
8557,Publishing,USD,2010-08-16 05:00:00,3000.0,2010-05-18 23:34:54,3025.0,successful,45,US,3025.0,Death Runs in the Family: A Dark Zombedy About Family and Friendship. ,89,67.22222222222223,2010,2010,8,5,5991.095703125
8664,Fashion,USD,2013-01-27 02:17:26,1000.0,2012-12-18 02:17:26,1395.0,successful,40,US,1395.0,D'ARCI APPAREL || You know it's adorable.  :],40,34.875,2013,2012,1,12,8592.958984375
8679,Design,CAD,2016-03-20 04:59:00,12500.0,2016-02-08 10:20:30,2593.0,failed,28,CA,1863.24513855,The Everyday Essential Clutch,40,66.54446923392858,2016,2016,3,2,27420.08203125
8699,Photography,CAD,2016-02-14 19:07:36,3700.0,2016-01-13 19:07:36,3703.0,successful,24,CA,2604.53482212,ubiquitous TORONTO iphoneography documentary,32,108.522284255,2016,2016,2,1,4806.22021484375
8707,Film & Video,USD,2010-08-02 20:00:00,5000.0,2010-06-17 03:24:14,6155.0,successful,52,US,6155.0,Summer: A Short Film,46,118.36538461538461,2010,2010,8,6,4351.73828125
